ID,Date,Time,TTC,LogTTC,Contamination,TLF,Type,Repeat,x,y,DOC,PopDensity,Nitrates,Sulfates,Conductivity,pH,Temperature,Salinity,Turbidity,FC,LogFC,CDOM,Sanitation,SepticTank,SoakPit,Latrines,Cattle,Trash,Cultivation,Construction,Road,Petrol station,Drainage channel,Fence,Apron area,Pump insanitary,CracksLoose,TotalRisk,DistanceToCemetery,DistanceToFarm,DistanceToIndustry,DistanceToLandfill,DistanceToRoads,GCNOM_1,TLFuncalibrated,PopDensity,superficie
9,31/05/2018,10:00,1,0,0,9.784,2,0,248360.5,1637409.71,1.8,21.87,NA,NA,611,8.02,26.8,0.3,7,467500,5.669781615,33.13,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,6,351.8621,225.4187,3479.8378,146.9957,25.606,Malika,7.708,21.87,900
11,31/05/2018,11:30,1800,3.2553,1,24.99,3,1,249458.98,1636753.48,3.96,39,NA,NA,1198,7.67,27.7,0.6,5.9,2362500,6.373371817,27.48,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,6,869.3932,946.9755,2298.5031,844.0535,4.776,Keur Massar,22.295,39,2000
12,31/05/2018,13:00,1480,3.1703,1,21.053,2,0,250341.75,1636259.72,3.88,39,NA,NA,566,6.83,27.1,0.28,4.3,430000,5.633468456,67.92,1,1,0,0,1,1,0,1,1,0,0,0,0,1,1,6,1267.4117,1950.1609,1506.1928,718.5868,34.885,Keur Massar,18.519,39,2000
13,31/05/2018,13:30,6480,3.8116,1,14.014,3,1,250782.58,1636261.14,2.49,39,NA,NA,1342,7.67,28,0.67,2.8,1218750,6.085914629,34.08,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,4,1035.4716,2031.4254,1483.3435,857.5018,30.4996,Keur Massar,11.766,39,2000
14,31/05/2018,14:30,26800,4.4281,1,54.92,3,0,250496,1636070,11.9,39,NA,NA,1101,7.21,27.6,0.54,0.6,1980000,6.29666519,119.46,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,5,1023.1097,2050.4608,1294.2903,926.2251,1.3598,Keur Massar,51.007,39,2000
15,31/05/2018,15:30,170,2.2304,1,34.844,2,0,250268.71,1636049.82,7.27,39,NA,NA,2808,7.11,28.1,1,3.4,823750,5.915795428,95.63,1,1,0,0,1,1,0,1,1,0,0,0,1,1,1,7,1158.4679,2009.0519,1320.1634,928.8327,6.7909,Keur Massar,31.748,39,2000
16,01/06/2018,10:30,1,0,0,61.512,2,1,242427.82,1634153.31,14.6,233.51,NA,NA,3160,7.62,27,1.64,9.4,2347500,6.370605601,190.05,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,7,1409.726,607.0988,1535.768,433.889,2.8121,Djidah Thiaroye Kaw,57.331,233.51,200
17,01/06/2018,11:00,3300,3.5185,1,16.843,2,1,242479.57,1634076.27,3.07,233.51,NA,NA,1134,7.91,28.4,0.56,1.9,835000,5.921686475,62.65,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1,9,1325.1957,660.2098,1447.8702,431.963,2.2726,Djidah Thiaroye Kaw,14.48,233.51,200
18,01/06/2018,11:30,200,2.301,1,42.039,2,1,243011.86,1633940.2,8.85,469.62,NA,NA,1284,7.83,29.2,0.65,7,1670000,6.222716471,135.33,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,4,813.8581,1198.5487,963.3523,430.1479,8.2432,Medina Gounass,38.65,469.62,100
20,01/06/2018,13:00,1,0,0,64.671,2,0,243492.3,1634267.86,14.56,469.62,NA,NA,1440,7.8,27.6,0.75,2.4,1321250,6.120985,166.86,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,3,855.8996,1356.4516,1044.9317,290.8511,5.271,Medina Gounass,60.361,469.62,100
25,02/06/2018,12:30,1,0,0,17.092,2,0,250641,1635130,2.92,39,NA,NA,1313,7,27.7,0.65,4.6,251250,5.40010607,32.01,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,6,477.7046,1238.9355,345.7704,1876.8143,18.5683,Keur Massar,14.719,39,2000
26,02/06/2018,13:15,110,2.0414,1,74.54,2,0,250309,1635078,11.26,39,NA,NA,1426,7.51,27.2,0.71,6,3677500,6.565552681,193.23,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,5,812.9076,1482.6714,445.8589,1899.6692,3.1186,Keur Massar,69.828,39,2000
27,02/06/2018,14:00,1,0,0,40.601,2,0,250174,1635380,4.76,39,NA,NA,1691,5.35,27.9,0.54,2.9,291250,5.464265934,42.34,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,7,939.5298,1761.1011,759.0828,1603.5752,3.0695,Keur Massar,37.271,39,2000
28,02/06/2018,15:00,1,0,0,36.136,2,0,249479,1634769,4.47,39,NA,NA,1072,7.23,26.4,0.53,2.8,1378750,6.139485525,53.57,1,1,0,0,1,1,0,1,1,0,0,0,0,1,1,6,1435.4024,1888.8807,1100.0462,2360.3608,57.0895,Keur Massar,32.988,39,2000
29,02/06/2018,15:30,7,0.8451,0,30.386,2,0,249327,1634798,6.32,39,NA,NA,1022,7.3,26.5,0.59,4,987500,5.994537104,105.73,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,6,1351.0737,1881.8125,1254.2187,2343.2283,83.0706,Keur Massar,27.472,39,2000
30,02/06/2018,16:00,300,2.4771,1,45.549,2,0,248644,1633961,25.28,39,NA,NA,2290,7.85,25.7,1.17,4.4,3662500,6.563777633,200,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,8,273.7125,941.4741,2018.0796,2926.2536,0.5621,Keur Massar,42.017,39,2000
31,03/06/2018,10:00,1,0,0,32.884,2,0,244046.38,1632557.12,10.56,149.13,NA,NA,1075,7.17,28.3,0.52,4.7,1397500,6.145351817,131.57,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,5,818.1207,525.8237,698.1289,1484.1176,24.4983,Thiaroye Gare,29.868,149.13,200
32,03/06/2018,10:50,1,0,0,60.882,2,0,244880.83,1632755.1,9.93,149.13,NA,NA,2650,7.14,27,1.37,3.5,3102500,6.49171179,152.19,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,965.99,556.1164,1237.8399,1812.6982,7.1766,Thiaroye Gare,56.726,149.13,200
33,03/06/2018,11:30,1,0,0,36.921,2,0,244670.08,1633148.64,7.96,149.13,NA,NA,2000,7.76,26.8,1.02,2.1,838750,5.923632533,126.41,1,1,0,0,1,1,0,0,1,0,0,0,0,1,1,7,726.7853,241.4556,955.1434,1404.9877,4.7141,Thiaroye Gare,33.741,149.13,200
34,03/06/2018,12:00,1,0,0,65.069,2,0,244583,1633179,8.11,149.13,NA,NA,1710,7.69,28,0.87,2.1,2436250,6.386721852,137.93,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,5,769.1103,160.3213,867.8143,1316.1703,3.6217,Thiaroye Gare,60.743,149.13,200
35,03/06/2018,13:00,15,1.1761,1,42.732,2,0,244875.7,1633799,5.69,233.51,NA,NA,1229,7.27,27.7,0.61,4,2336250,6.368519314,111.94,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,4,265.9342,790.2597,1316.841,1367.2686,31.7802,Djidah Thiaroye Kaw,39.315,233.51,200
36,03/06/2018,15:00,42600,4.6294,1,39.617,2,0,242781,1632955,6.22,419.65,NA,NA,2570,8.33,28.5,1.21,59.8,920000,5.963787827,87.74,1,1,0,0,1,1,0,0,1,0,0,1,1,1,1,6,944.4685,961.6982,894.4907,1222.2575,3.1755,Pikine Est,36.327,419.65,100
