ID,Date,Time,TTC,LogTTC,Contamination,TLF,Type,Repeat,x,y,PopDensity,Nitrates,Sulfates,Conductivity,pH,Temperature,Salinity,Turbidity,FC,LogFC,CDOM,Sanitation,SepticTank,SoakPit,Latrines,Cattle,Trash,Cultivation,Construction,Road,Petrol station,Drainage channel,Fence,Apron area,Pump insanitary,CracksLoose,TotalRisk,DistanceToCemetery,DistanceToFarm,DistanceToIndustry,DistanceToLandfill,DistanceToRoads,GCNOM_1,TLFuncalibrated,PopDensity,superficie
68,28/06/2018,08:30,5800,3.7634,1,8.652,3,0,254101.95,1637748.34,2.04,50.84,5.06,723,9.77,28,0.35,25.6,NA,#VALUE!,20.14,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,5,2686.1828,1179.9979,4538.4547,2496.3716,6.5664,Sanghalkm,6.622,2.04,40000
69,28/06/2018,09:15,280,2.4472,1,45.200,2,39,251595.96,1635844.75,39,482.98,0.04,1630,7.01,27.4,0.97,15.9,55431,4.743752714,62.08,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,3,121.73,1423.4147,1415.5886,1712.4388,12.9657,Keur Massar,41.683,39,2000
70,28/06/2018,09:30,8,0.9031,0,8.518,2,40,252466.41,1636233.75,39,133.3,0.08,411,7.67,28.5,0.2,5.9,11170,4.048053173,8.04,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,784.402,1871.1196,2311.1099,1777.0122,2.8936,Keur Massar,6.494,39,2000
71,28/06/2018,10:00,1100,3.0414,1,13.185,3,0,251483.07,1635372.03,39,317.44,0.04,2030,8.3,27.2,1.03,4.9,99821,4.999221916,8.5,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,3,279.3409,982.7684,1004.8566,1987.6111,4.4773,Keur Massar,10.971,39,2000
72,28/06/2018,10:30,17400,4.2405,1,40.035,3,0,250976.35,1635416.1,39,324.26,0.14,2640,10.52,26.6,1.36,7.4,136766,5.135978145,83.28,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,3,211.7604,1242.24,713.7403,1697.1972,4.4747,Keur Massar,36.728,39,2000
73,28/06/2018,11:00,48000,4.6812,1,15.030,3,13,250782.58,1636261.14,39,344.1,0.04,1363,9.39,26.7,0.68,6.6,346812,5.540094116,35.91,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,1035.4716,2031.4254,1483.3435,857.5018,30.4996,Keur Massar,12.741,39,2000
74,28/06/2018,11:30,15200,4.1818,1,27.154,3,0,249620.35,1636518.35,39,199.02,11.03,2120,8.81,27.9,1.07,62.6,110831,5.044661252,65.44,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,3,1097.3591,1209.156,2013.9036,822.9033,51.7873,Keur Massar,24.371,39,2000
75,28/06/2018,12:00,11600,4.0645,1,23.784,3,11,249458.98,1636753.48,39,70.06,1.74,1204,9.04,28,0.6,9.9,113208,5.053877118,26.57,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,6,869.3932,946.9755,2298.5031,844.0535,4.776,Keur Massar,21.138,39,2000
76,28/06/2018,12:50,70,1.8451,1,50.329,2,0,248435.6,1637443.9,21.87,132.68,0.07,1357,8.77,28.1,0.68,7,285285,5.455278937,73.88,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,3,364.5355,274.4893,3457.2544,225.6945,15.925,Malika,46.603,21.87,900
77,28/06/2018,13:30,4000,3.6021,1,41.216,2,10,247219.87,1636041.91,176.86,530.1,0.1,2700,9.05,28.4,1.4,8.4,261214,5.41699645,149.57,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,4,1566.8023,1504.1861,3626.563,1273.313,20.8341,Yeumbeul Nord,37.861,176.86,800
78,28/06/2018,14:00,135,2.1303,1,32.335,3,0,247413.42,1634269.97,176.86,14.88,0.04,773,8.43,28.2,0.38,10.5,49693,4.696295216,48.65,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,5,1073.6294,1341.142,2406.7699,2701.5641,4.4147,Yeumbeul Nord,29.341,176.86,800
79,29/06/2018,09:00,97000,4.9868,1,26.683,1,1,238698.73,1632417.44,245.46,142.6,0.17,2460,8.07,29.4,1.26,11.4,99245,4.996708636,33.18,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,8,1826.3072,141.7553,300.1078,1071.0051,6.3785,Golf Sud,23.919,245.46,400
