ID,NAME_4,TLFuncalibrated,TTC,LogTTC,Contamination,TLF,Type,Rain,x,y,PopDensity,Conductivity,pH,Temperature,Salinity,Turbidity,FC,CDOM,DistanceToCemetery,DistanceToFarm,DistanceToIndustry,DistanceToLandfill,DistanceToRoads,Sanitation,SepticTank,SoakPit,Latrines,Cattle,Trash,Cultivation,Construction,Road,Petrol station,Drainage channel,Fence,Apron area,Pump insanitary,CracksLoose,TotalRisk,TLF_filtered,CDOM_filtered,DOC,Nitrates,Phosphates,Repeat,Date,Time
P1,Golf Sud,24.594,1,0,0,27.38623,1,0,238698.73,1632417.44,245.46,2460,6.04,29.6,1.27,7.6,253750,32.77,1826.3072,141.7553,300.1078,1071.0051,6.3785,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,8,26.88377294,32.711,NA,NA,NA,Yes,29/05/2018,12:00
P2,Wakhinane Nimzatt,24.177,5,0.69897,0,26.95153,1,0,244129.27,1636215.27,213.69,2780,7.68,29.3,1.45,7.1,948750,49.49,2624.1124,3027.7177,3009.9389,493.1423,10.2589,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,8,27.96478011,46.225,NA,NA,NA,Yes,29/05/2018,14:00
P3,Wakhinane Nimzatt,121.624,40,1.60206,1,128.53389,1,0,244551.27,1635073.52,213.69,2300,7.67,28.4,1.17,10.9,6365000,49.5,1437.1232,1886.1543,2031.5506,1444.6948,0.173,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7,127.3434266,50.386,NA,NA,NA,No,29/05/2018,16:00
HP1,Thiaroye Mer,39.191,4,0.60206,0,42.60268,2,0,244795.02,1631182.02,125.98,1990,6.47,28,1,4.9,1207500,171.83,1516.8023,1397.1076,1465.3689,3043.507,16.1668,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,5,40.43441151,171.429,NA,NA,NA,No,30/05/2018,10:00
D1,Diamaguene/Sicap M'Bao,62.044,3960,3.597695,1,66.42549,3,0,246272.44,1631929.51,61.04,2870,7.73,25.2,1.49,8,5391250,200,176.137,1593.0781,746.1008,3417.3079,20.7322,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,6,66.61313189,200,NA,NA,NA,Yes,30/05/2018,11:30
D2,Diamaguene/Sicap M'Bao,51.22,4200,3.623249,1,55.14216,3,0,246273.62,1632587.04,61.04,2070,8.01,26.5,1.06,2.7,4812500,128.74,334.7606,1681.7999,1237.5649,3076.1557,9.4125,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,5,53.3689698,128.804,NA,NA,NA,Yes,30/05/2018,13:00
HP2,Yeumbeul Sud,41.104,11900,4.075547,1,44.59686,2,0,245283.7,1633874.77,537.14,4490,7.9,28.5,2.38,35.9,2700000,157.61,78.5039,1127.0495,1718.8317,1768.3432,0.012,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,7,39.52957619,166.517,NA,NA,NA,Yes,30/05/2018,14:30
P4,Yeumbeul Sud,61.126,11,1.041393,1,65.46854,1,0,245626.74,1633813.97,537.14,2250,7.13,28,1.15,11.8,3318750,80.26,356.535,1376.1162,2016.527,2114.2161,15.9142,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,64.64188352,80.543,NA,NA,NA,Yes,30/05/2018,15:00
HP3,Malika,7.708,1,0,0,9.78364,2,0,248360.5,1637409.71,21.87,611,8.02,26.8,0.3,7,467500,33.13,351.8621,225.4187,3479.8378,146.9957,25.606,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,6,9.663756141,33.625,1.8,NA,NA,No,31/05/2018,10:00
HP4,Yeumbeul Nord,51.057,29000,4.462398,1,54.97224,2,0,247219.87,1636041.91,176.86,2680,7.59,27.2,1.38,9.1,5776250,166.71,1566.8023,1504.1861,3626.563,1273.313,20.8341,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,6,49.74024661,164.682,NA,NA,NA,Yes,31/05/2018,11:00
D3,Malika,22.295,1800,3.255273,1,24.98966,3,0,249458.98,1636753.48,39,1198,7.67,27.7,0.6,5.9,2362500,27.48,869.3932,946.9755,2298.5031,844.0535,4.776,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,6,23.2029279,27.651,3.96,NA,NA,Yes,31/05/2018,11:30
HP5,Keur Massar,18.519,1480,3.170262,1,21.05342,2,0,250341.75,1636259.72,39,566,6.83,27.1,0.28,4.3,430000,67.92,1267.4117,1950.1609,1506.1928,718.5868,34.885,1,1,0,0,1,1,0,1,1,0,0,0,0,1,1,6,21.17851524,67.789,3.88,NA,NA,No,31/05/2018,13:00
D4,Keur Massar,11.766,6480,3.811575,1,14.01385,3,0,250782.58,1636261.14,39,1342,7.67,28,0.67,2.8,1218750,34.08,1035.4716,2031.4254,1483.3435,857.5018,30.4996,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,4,13.58331926,34.892,2.49,NA,NA,Yes,31/05/2018,13:30
D5,Keur Massar,51.007,26800,4.428135,1,54.92012,3,0,250496,1636070,39,1101,7.21,27.6,0.54,0.6,1980000,119.46,1023.1097,2050.4608,1294.2903,926.2251,1.3598,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,5,54.19770722,119.484,11.9,NA,NA,No,31/05/2018,14:30
HP6,Keur Massar,31.748,170,2.230449,1,34.84382,2,0,250268.71,1636049.82,39,2808,7.11,28.1,1,3.4,823750,95.63,1158.4679,2009.0519,1320.1634,928.8327,6.7909,1,1,0,0,1,1,0,1,1,0,0,0,1,1,1,7,32.33571845,321.812,7.27,NA,NA,No,31/05/2018,15:30
HP7,Djidah Thiaroye Kao,57.331,1,0,0,61.51249,2,0,242427.82,1634153.31,233.51,3160,7.62,27,1.64,9.4,2347500,190.05,1409.726,607.0988,1535.768,433.889,2.8121,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,7,59.27646028,193.457,14.6,NA,NA,Yes,01/06/2018,10:30
HP8,Djidah Thiaroye Kao,14.48,3300,3.518514,1,16.84302,2,0,242479.57,1634076.27,233.51,1134,7.91,28.4,0.56,1.9,835000,62.65,1325.1957,660.2098,1447.8702,431.963,2.2726,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1,9,16.35724412,58.223,3.07,NA,NA,Yes,01/06/2018,11:00
HP9,Medina Gounass,38.65,200,2.30103,1,42.03872,2,0,243011.86,1633940.2,469.62,1284,7.83,29.2,0.65,7,1670000,135.33,813.8581,1198.5487,963.3523,430.1479,8.2432,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,4,36.69727486,130.609,8.85,NA,NA,Yes,01/06/2018,11:30
HP10,Medina Gounass,200,30400,4.482874,1,210.23593,2,0,243040.16,1634282.18,469.62,3670,8.13,28,1.93,20.2,16587500,200,1052.5756,1228.7141,1221.8053,201.0513,10.3845,1,1,0,0,1,1,0,1,1,1,1,0,1,0,0,5,210.235932,200,NA,NA,NA,No,01/06/2018,12:30
HP11,Medina Gounass,60.361,1,0,0,64.67107,2,0,243492.3,1634267.86,469.62,1440,7.8,27.6,0.75,2.4,1321250,166.86,855.8996,1356.4516,1044.9317,290.8511,5.271,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,3,62.39647422,168.412,14.56,NA,NA,No,01/06/2018,13:00
